2018-07-03 at 17:05:57 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Starting service [Tomcat]
2018-07-03 at 17:05:57 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-07-03 at 17:05:57 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/myu/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-07-03 at 17:05:57 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Initializing Spring embedded WebApplicationContext
2018-07-03 at 17:05:57 CST INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 285 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1684 ms
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.ServletRegistrationBean 185 addRegistration - Servlet dispatcherServlet mapped to [/]
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'requestContextFilter' to: [/*]
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'httpTraceFilter' to: [/*]
2018-07-03 at 17:05:58 CST INFO  org.springframework.boot.web.servlet.AbstractFilterRegistrationBean 244 configure - Mapping filter: 'webMvcMetricsFilter' to: [/*]
2018-07-03 at 17:05:58 CST WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
2018-07-03 at 17:05:58 CST INFO  com.netflix.config.sources.URLConfigurationSource 122 <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-07-03 at 17:05:58 CST WARN  com.netflix.config.sources.URLConfigurationSource 121 <init> - No URLs will be polled as dynamic configuration sources.
2018-07-03 at 17:05:58 CST INFO  com.netflix.config.sources.URLConfigurationSource 122 <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-07-03 at 17:05:58 CST INFO  org.springframework.web.servlet.handler.AbstractUrlHandlerMapping 373 registerHandler - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-03 at 17:05:58 CST INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter 574 initControllerAdviceCache - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7c541c15: startup date [Tue Jul 03 17:05:55 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@660acfb
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/hello],methods=[GET]}" onto public java.lang.String demo.DemoApplication.sayHello()
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/client],methods=[GET]}" onto public java.lang.String demo.DiscoveryController.client()
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractUrlHandlerMapping 373 registerHandler - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractUrlHandlerMapping 373 registerHandler - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-03 at 17:05:59 CST INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver 59 <init> - Exposing 2 endpoint(s) beneath base path '/actuator'
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-07-03 at 17:05:59 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-07-03 at 17:05:59 CST INFO  org.springframework.jmx.export.MBeanExporter 433 afterSingletonsInstantiated - Registering beans for JMX exposure on startup
